epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,13.393190625267744,7.3123634588024276,-0.009891504441646548,0.09041492529159512,0.0419281785829827,0.04081719981097709,0.3921013775259084,0.37584664766316833,0.3836226898818353,0.38385690502363734,0.0,0.038461538461538464,0.0,0.012820512820512822
2,7.158406881202698,4.430160973480722,0.4077595680634527,0.08083055246570248,0.1728395061728395,0.22047654223399824,0.3809672269617382,0.37987377940298056,0.3705657228339564,0.37713557639955836,0.0,0.0,0.0,0.0
3,5.421509563097538,4.140854775778398,0.5428392284144138,0.42347535505430245,0.20712440680002397,0.3911463300895801,0.36654267895036924,0.3686411994493285,0.35800489592319934,0.3643962581076323,0.0,0.0,0.0,0.0
4,4.947299224570402,4.531821172886844,0.412981005116703,0.35096671317520434,0.45222130899338153,0.405389675761763,0.3610108083338046,0.34782655885741665,0.3344703044407134,0.3477692238773116,0.0,0.0,0.0,0.0
5,4.214699263010424,4.35645495302264,0.48662159393566884,0.3986674505193024,0.32528424472116935,0.40352442972538016,0.33046126394988107,0.3471604220412334,0.3354995453651972,0.3377070771187705,0.0,0.0,0.0,0.0
6,3.859053312958505,5.136575962106733,0.45716285762435016,0.3664871334530222,0.34550427647288673,0.3897180891834197,0.3333865871763674,0.3455108246224571,0.3446031333765761,0.3411668483918002,0.0,0.0,0.0,0.0
7,3.8394403935645687,4.122078742770226,0.4235056755084221,0.4866103167706769,0.5451722394742544,0.48509607725111775,0.32349401855091225,0.3338538725562116,0.3188867607542419,0.32541155062045524,0.0,0.0,0.0,0.0
8,3.2866259989368434,4.336796249625883,0.5238645354169731,0.4801316717611098,0.3694490423267912,0.4578150831682914,0.30319059440635127,0.3262077509265421,0.32111080321045093,0.31683638284778143,0.0,0.0,0.0,0.0
9,3.110396791068353,4.74971228102736,0.39600236252292575,0.30609313577260355,0.44497708254488877,0.382357526946806,0.31394621373728515,0.33411910810692425,0.3208205914573936,0.3229619711005343,0.0,0.0,0.0,0.0
10,2.6278104118865695,4.863337845312667,0.4684367162192794,0.40359082679541336,0.46497369715777925,0.44566708005749067,0.30500191481561995,0.32243303014329805,0.3063600400821505,0.3112649950136895,0.0,0.0,0.0,0.0
11,2.458046995229897,4.786381968121503,0.47001758711242103,0.415194853091833,0.3944380069524913,0.4265501490522485,0.3028093576847231,0.32484864103746675,0.3096583335109788,0.31243877741105625,0.0,0.0,0.0,0.0
12,2.322507108608794,4.407146754449627,0.5203661400855828,0.5039286793593231,0.3813326678312954,0.4685424957587337,0.2917821155040198,0.3086862238602669,0.3049349754363289,0.3018011049335385,0.0,0.0,0.0,0.0
13,2.0492200710785053,5.362917882782721,0.4326404926866819,0.4100500986792167,0.36697155493014366,0.40322071543201404,0.3021553706101686,0.31865337389199927,0.31010425635300753,0.31030433361839177,0.07142857142857142,0.0,0.0,0.023809523809523808
14,1.8097389278685256,5.129345281852078,0.44966831466299517,0.39917342482844675,0.44881995954147,0.4325538996776373,0.2909371741233782,0.3144515858071597,0.29805346088691287,0.30114740693915026,0.0,0.0,0.0,0.0
15,1.4522974247920326,5.163710088618956,0.4710239296760541,0.4224137931034483,0.44875191744526555,0.4473965467415893,0.2884185006080429,0.30970223404453934,0.2936288239586592,0.2972498528704138,0.09523809523809523,0.0,0.0,0.031746031746031744
16,1.1971391335599506,5.181916493109732,0.5279137960485111,0.46178678678678675,0.4533903972181357,0.4810303266844778,0.2816042123044346,0.30386045372439535,0.29362639604563384,0.2930303540248213,0.16666666666666666,0.09375,0.0,0.08680555555555554
17,0.9147619343839127,6.219030198139157,0.4573934342037689,0.42419250877318626,0.3840416305290547,0.4218758578353366,0.28828061536416516,0.3115018919899274,0.29602856732950505,0.2986036915611992,0.23809523809523808,0.125,0.0,0.12103174603174603
18,0.6752076135770129,6.028772117406385,0.4778000701089672,0.43029363969615664,0.39356352665102246,0.4338857454853821,0.27767645210711894,0.30201760616480267,0.2894768667436785,0.2897236416718667,0.14285714285714285,0.09375,0.0,0.07886904761904762
19,0.49725342947111106,6.545500203621181,0.5122271703848913,0.44479826307219106,0.2999686553129244,0.4189980295900022,0.270802158274265,0.29297086964820573,0.29875053470584334,0.28750785420943803,0.21666666666666667,0.0625,0.0,0.09305555555555556
20,0.3073941128408219,6.392829710707704,0.5232540760428106,0.44055095632315155,0.418680832226649,0.4608286215308704,0.2762299236441069,0.28939564142798824,0.2879994094586862,0.2845416581769271,0.24047619047619045,0.03125,0.0,0.09057539682539682
21,0.07653271061501078,7.198384303228371,0.4990108305670121,0.406722182448472,0.34011383320960153,0.4152822820750286,0.27246314034223856,0.2946049703302477,0.298247664622053,0.28843859176484643,0.28809523809523807,0.0,0.0,0.09603174603174602
