epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,11.13590852218261,6.2273921651163855,-0.0340265916474094,0.12604252791446258,0.10881392818280744,0.06694328814995354,0.3759304354082615,0.36508275662476447,0.373515599619823,0.37150959721761634,0.0,0.0,0.0,0.0
2,6.337644800950531,3.5800600990989797,0.4694865259600791,0.4119895120794914,0.4917247043733616,0.45773358080431076,0.3834501364612145,0.3784430248872379,0.3655747828528121,0.37582264806708815,0.0,0.0,0.0,0.0
3,5.151157642006003,4.06987086727104,0.23319790493905723,0.48001251097717956,0.18639164130776964,0.29986735240800216,0.3625548642073554,0.3486003452994513,0.3529898083442843,0.35471500595036365,0.0,0.0,0.0,0.0
4,4.704277017639812,3.9432556867999615,0.226834402075481,0.41294129885851005,0.25453338911409573,0.29810303001602895,0.35393329975643173,0.3424402420956948,0.3420143592439665,0.3461293003653643,0.0,0.0,0.0,0.0
5,4.385290402904932,3.8709096016767552,0.44079374000259386,0.436337539620836,0.4155349438789522,0.4308887411674607,0.34045409195033793,0.3345250671978864,0.33541383188405133,0.33679766367742525,0.0,0.0,0.0,0.0
6,4.187768620462951,3.7545169053727574,0.5221569674319274,0.4931528106451488,0.5257214458715036,0.5136770746495266,0.33173168967105165,0.33534474064753883,0.3342905287352933,0.3337889863512946,0.0,0.0,0.0,0.0
7,3.704492693601056,3.827633733678474,0.5099708171206225,0.41851114729710714,0.489961578007468,0.47281451414173253,0.3199216503454112,0.3346098767122817,0.32834980040716094,0.32762710915495125,0.0,0.0,0.0,0.0
8,3.5610603454388685,3.7480612274302936,0.4569996482588814,0.4478361524961727,0.3804209223932228,0.42841890771609226,0.32754084573050274,0.3312088226090904,0.33053510050093826,0.3297615896135105,0.0,0.0,0.0,0.0
9,3.1616781252767328,3.877718710053087,0.5627853483428014,0.5615211215673787,0.5770934719328464,0.5671333139476755,0.3051520268959612,0.3087477071587384,0.31427495941496886,0.30939156448988947,0.0,0.0,0.0,0.0
10,2.796115099747348,3.7416990770432523,0.5054581541515051,0.5456779036371184,0.5222270534401723,0.5244543704095986,0.2915424647107726,0.29292972006711915,0.30284742378747864,0.2957732028551235,0.0,0.0,0.0,0.0
11,2.348053972050041,4.227695498454454,0.44591989719426006,0.43883174136664216,0.47893033245606087,0.45456065700565434,0.28973599680179285,0.29678783942410947,0.2903355291637205,0.2922864551298743,0.0,0.0,0.0,0.0
12,2.0687444432464273,4.632555024046478,0.4994342859228439,0.5116780720023802,0.5352400408580185,0.5154507995944142,0.2726329906808646,0.28476910232519737,0.27237586056886665,0.27659265119164284,0.018518518518518517,0.05,0.0,0.022839506172839506
13,1.7051200299868456,4.1522508717157525,0.4820193357873873,0.5351850910754086,0.5415984598120065,0.5196009622249341,0.27865849349899374,0.2838280938574359,0.286938529037378,0.28314170546460254,0.05555555555555555,0.15,0.0,0.06851851851851852
14,1.3960330731330846,4.45502741492504,0.5151405185274787,0.4702384151038028,0.5221649866195619,0.5025146400836145,0.26923476295041326,0.28246275829894224,0.2761213362541411,0.2759396191678322,0.018518518518518517,0.18333333333333335,0.0,0.06728395061728396
15,1.1674142614044938,4.7679785771631105,0.5425013535462913,0.5447148719400028,0.4999480195446512,0.5290547483436484,0.2689668995948066,0.27225467177053037,0.28185852936196093,0.27436003357576594,0.1550925925925926,0.21666666666666667,0.0,0.12391975308641974
16,0.8926199504863384,4.818821798875359,0.5613048368953881,0.546142468957452,0.5491503217602405,0.5521992092043603,0.2595221857449008,0.2727141694072141,0.26946791416477317,0.2672347564389627,0.07407407407407407,0.18333333333333335,0.0,0.08580246913580247
17,0.5748167879670276,5.122018682554649,0.5528662420382167,0.5533598711022651,0.4988623987750569,0.5350295039718462,0.2622211121572218,0.274253184919748,0.26524510583001315,0.2672398009689943,0.1736111111111111,0.23333333333333334,0.0,0.13564814814814816
18,0.3675167818255702,5.19818457192207,0.536623580101841,0.5238231658904322,0.5403199012767574,0.5335888824230102,0.2618661586750567,0.275648012779493,0.26569996155219544,0.26773804433558174,0.1550925925925926,0.23333333333333334,0.0,0.12947530864197532
19,0.18823477089209473,5.4968700378943876,0.5660814200270115,0.5413946564530385,0.5447853513408513,0.5507538092736337,0.2554868049684892,0.2656968789080182,0.2592386841604767,0.26014078934566137,0.07407407407407407,0.23333333333333334,0.0,0.10246913580246914
20,0.018485823319431417,6.196515212512839,0.5556341348420557,0.4651517008350987,0.4968092896746522,0.5058650417839355,0.2510191014244304,0.2631325277741886,0.25620667770709354,0.2567861023019042,0.09259259259259259,0.18333333333333335,0.0,0.0919753086419753
21,-0.07954705737448566,6.208827289428189,0.5651182239793203,0.49399522747721314,0.4752915674076751,0.5114683396214028,0.25586609967871055,0.27444179634601895,0.2559984371981935,0.26210211107430764,0.1550925925925926,0.23333333333333334,0.0,0.12947530864197532
22,-0.10996755585691304,5.778932889811854,0.5048357180710121,0.5323812967907238,0.5267807409289462,0.5213325852635607,0.26227062240856436,0.2688628650894371,0.2535211264436635,0.26155153798055497,0.2175925925925926,0.23333333333333334,0.0,0.15030864197530866
23,-0.2165276668786511,6.632426433417561,0.5276933343219397,0.48804238865816985,0.47727367673476206,0.49766979990495724,0.2533095212111465,0.2681207655695498,0.24764826843489796,0.2563595184051981,0.09259259259259259,0.18333333333333335,0.0,0.0919753086419753
24,-0.31665622387107634,6.843009476148489,0.53,0.45292211911790836,0.49163603032748504,0.4915193831484645,0.24901802718322594,0.2640078648501733,0.2510899746386098,0.2547052888906697,0.09259259259259259,0.13333333333333333,0.0,0.07530864197530864
