epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,1.1462914834443827,0.9160473115893354,0.13604134914849897,0.15273784962965464,0.08346735284657447,0.12408218387490937,0.3676540256021393,0.365465390535345,0.370085347100164,0.36773492107921607,0.0,0.1111111111111111,0.25,0.12037037037037036
2,1.5990656559223084,1.4825517481074735,0.42955668952320203,0.4074099206079935,0.45367182662538696,0.43021281225219415,0.3667920039729097,0.36150792434023293,0.33655062031839506,0.3549501828771792,0.0,0.0,0.0,0.0
3,1.5986331286811506,1.3718292497936106,0.6062105945436332,0.5189250567751703,0.554858934169279,0.5599981951626942,0.33679772231618144,0.31630013427384024,0.3174673406884477,0.32352173242615645,0.0,0.0,0.0,0.0
4,1.6503917679030584,1.425294582441373,0.5833856485874881,0.4805177111716621,0.649355127939858,0.571086162566336,0.32070859180294714,0.3155956254148075,0.31172874151912827,0.3160109862456277,0.0,0.0,0.0,0.0
5,1.616922572876286,1.4065720562464825,0.5270235818992989,0.5658402890245422,0.6738698130717221,0.588911227998521,0.3061485753063056,0.3010814116221579,0.29428640182978383,0.30050546291941577,0.0,0.0,0.0,0.0
6,1.6088119395694098,1.402770923458938,0.657299868387633,0.5375024737779537,0.6783304566138396,0.6243775995931421,0.2933508414469515,0.2847343918404218,0.28436316563930397,0.2874827996422258,0.043478260869565216,0.0,0.0,0.014492753623188406
7,1.5903125527286617,1.4879861196169797,0.56733421273534,0.607248666798341,0.5783466124201841,0.5843098306512884,0.2938888952615813,0.29419256098620533,0.2935216843739491,0.29386771354057856,0.0,0.0,0.0,0.0
8,1.5629201554154597,1.3650995672305108,0.6321357807768515,0.6048668835080111,0.5855683033902681,0.6075236558917102,0.28251499657180024,0.2761301758105231,0.2781772686729574,0.27894081368509355,0.17391304347826086,0.0,0.0,0.057971014492753624
9,1.5319435112125992,1.3635241738970483,0.6470864416505817,0.6453460038986354,0.6754853385684461,0.6559725947058878,0.27363521613960606,0.2789972835657849,0.2677707793708889,0.2734677596920933,0.21739130434782608,0.0,0.0,0.07246376811594203
10,1.4979114682939747,1.405096756992273,0.6635295520963798,0.6675259116051769,0.639119804400978,0.6567250893675115,0.2756921259098507,0.27715794471472677,0.2726329589983023,0.27516100987429326,0.2391304347826087,0.0,0.0,0.07971014492753624
11,1.5079006554758358,1.3960651999815445,0.6922030240114485,0.6578204743320324,0.6483058636112984,0.6661097873182598,0.26704703504368327,0.2826120054522129,0.26927556723062623,0.2729782025755075,0.30434782608695654,0.041666666666666664,0.0,0.11533816425120774
12,1.4575265027335382,1.3799789021183821,0.6226902008520998,0.6452110004741584,0.6227038038706052,0.6302016683989544,0.2643667930779845,0.2814138747602225,0.2701095716360462,0.2719634131580844,0.2826086956521739,0.041666666666666664,0.0,0.10809178743961352
13,1.44482086748062,1.3737140298022033,0.6260700285340943,0.6633748636389735,0.6370446033367381,0.6421631651699352,0.28321663960339916,0.2709910190966328,0.2640496921608148,0.27275245028694894,0.06521739130434782,0.0,0.0,0.021739130434782608
14,1.4118260583450766,1.3753280378212698,0.6522982239344819,0.6513256628314157,0.6282059958042905,0.6439432941900627,0.2803001405917315,0.2697387141768291,0.2713817295310491,0.2738068614332032,0.17391304347826086,0.09722222222222221,0.0,0.09037842190016103
15,1.4034292230167689,1.3844365690090417,0.6264283916435942,0.6384306197132402,0.6481169968073055,0.6376586693880467,0.2771930317743796,0.2731107932898598,0.2631216074174726,0.2711418108272374,0.1956521739130435,0.041666666666666664,0.0,0.07910628019323672
16,1.3589224700665221,1.3812717147746234,0.6414802647470892,0.6552651146828348,0.6086792323273938,0.6351415372524393,0.2895003354904858,0.2824401880370865,0.27351717279060284,0.28181923210605836,0.1956521739130435,0.09722222222222221,0.0,0.09762479871175522
17,1.329508758560439,1.3828850464540774,0.6531346031825025,0.6650626678603402,0.6324324324324324,0.650209901158425,0.28477547972163986,0.2780090812954789,0.2727020890893134,0.2784955500354774,0.15217391304347827,0.09722222222222221,0.0,0.08313204508856682
18,1.3004441089676864,1.3732518060169328,0.6253512179628136,0.6840383655818596,0.5763701707097934,0.6285865847514889,0.29213434393298876,0.2749475171045562,0.2761910412118227,0.2810909674164559,0.13043478260869565,0.15277777777777776,0.0,0.09440418679549113
19,1.2768524460747817,1.3753735531712383,0.6465391675054769,0.670508617954954,0.5943916586598342,0.6371464813734217,0.2876706586792669,0.2833230735043946,0.2839161511524792,0.2849699611120469,0.25120772946859904,0.15277777777777776,0.0,0.13466183574879229
20,1.247697508030524,1.3696688060721978,0.6380090497737556,0.6706112257083922,0.5960591133004925,0.6348931295942134,0.28602868214356175,0.2810014253532396,0.2840356500667617,0.283688585854521,0.21739130434782608,0.15277777777777776,0.0,0.12338969404186795
21,1.2504353025221107,1.3831166239951116,0.5912989302615358,0.6560402684563759,0.5823429541595925,0.609894050959168,0.2977950345440948,0.296729091005457,0.2807184013059221,0.29174750895182466,0.17391304347826086,0.15277777777777776,0.0,0.10889694041867955
22,1.200129969978703,1.3755043432784775,0.6144230996432032,0.6492222222222223,0.5978975032851511,0.6205142750501922,0.2874507310455767,0.29021789876804105,0.27700529385212996,0.2848913078885826,0.28502415458937197,0.20833333333333331,0.1,0.1977858293075684
