epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,1.3998381956466324,1.3370458158715968,-0.055871702017589175,0.03875932980271923,0.09121104914335154,0.024699558976160534,0.3705049149132792,0.3636387645683025,0.370086014152086,0.3680765645445559,0.0,0.0,0.0,0.0
2,1.2465112343444067,1.1027508438833349,0.4209949294230506,0.3857275806157596,0.5483063971726959,0.45167630240383544,0.32762747528862046,0.3156539305037537,0.29961885487255924,0.3143000868883111,0.0,0.0,0.0,0.0
3,1.0407686541568482,1.0638261281774926,0.5392364133814203,0.4070401586514626,0.4676525597983294,0.47130971061040405,0.27258036373177774,0.26182336342475343,0.258653065009559,0.2643522640553634,0.0,0.0,0.0,0.0
4,0.9782151420834923,1.0556069477946248,0.3804850429366802,0.39556373479780715,0.4850419770604233,0.4203635849316369,0.28302020673579126,0.2641623372498813,0.2494049025225858,0.2655291488360861,0.0,0.0,0.0,0.0
5,0.9152989283657148,1.1102646335167268,0.5523548578199052,0.5523878387218952,0.573358206377172,0.5593669676396575,0.25857177548739935,0.24298805167711457,0.23621223633197452,0.24592402116549614,0.0,0.0,0.0,0.0
6,0.8550244190004507,1.069238062471726,0.5121804390576714,0.4362892771722262,0.5325005068399256,0.4936567410232744,0.2523154739367553,0.24731583581905178,0.2306603580244849,0.243430555926764,0.0,0.0,0.0,0.0
7,0.7651340436575956,1.0438369677630555,0.52073732718894,0.4999953937852951,0.5756805308778923,0.5321377506173758,0.23978443540871272,0.23678830433833253,0.21916953460446015,0.2319140914505018,0.0,0.0,0.0,0.0
8,0.7261500704810636,1.0452869759998642,0.5119269861024685,0.5077610816864173,0.5340867472400983,0.5179249383429947,0.237405689474798,0.23192337599824517,0.22862667754717245,0.2326519143400719,0.0,0.0,0.0,0.0
9,0.6049690107896389,1.033198648350004,0.5453423304805793,0.4827489924890407,0.5460083393725514,0.5246998874473905,0.22791219896463902,0.2255902782939212,0.21227072630099983,0.22192440118652002,0.07407407407407407,0.0,0.0,0.024691358024691357
10,0.5178412763013276,1.051354805517758,0.5454906634882797,0.5430121026465122,0.5750141499307141,0.554505638688502,0.21715140493779783,0.21933164074546746,0.2113615151118195,0.21594818693169493,0.018518518518518517,0.0,0.0,0.006172839506172839
11,0.4390742503538813,1.0895127306559849,0.5403834066624764,0.5328430553234165,0.5569143740843236,0.5433802786900722,0.2179655767257016,0.21680367981569876,0.21725319751908234,0.2173408180201609,0.0,0.0,0.0,0.0
12,0.3715800526606978,1.1029635663751753,0.566451429787838,0.5578161742153154,0.5716786655651285,0.5653154231894273,0.2181393144304386,0.2138078915471915,0.21970348734730183,0.21721689777497732,0.1111111111111111,0.0,0.0,0.037037037037037035
13,0.31269608002958416,1.1144241481523256,0.49239191691490214,0.5000136546111623,0.5423241637408851,0.5115765784223165,0.2266476531119729,0.22351210129398788,0.21439118898052442,0.22151698112882842,0.09259259259259259,0.0,0.0,0.030864197530864196
14,0.23294331578429717,1.1471389700495918,0.5622387366465398,0.531439336983345,0.5230955722853132,0.5389245486383993,0.2125529004805012,0.21565786776324591,0.22027485410812955,0.21616187411729224,0.07407407407407407,0.0,0.0,0.024691358024691357
15,0.18539502752979684,1.1869101442595573,0.5582931551573591,0.541418591045187,0.5200917402368909,0.5399344954798123,0.21232861414369694,0.20911445562784517,0.2187084713878263,0.21338384705312277,0.1550925925925926,0.05,0.0,0.0683641975308642
16,0.12768968255183466,1.1568714649294285,0.5203130823704808,0.5304070518027069,0.5498943071652453,0.533538147112811,0.2149014753691238,0.20841399824954845,0.2195433179643333,0.21428626386100183,0.22916666666666666,0.0,0.0,0.07638888888888888
17,0.07457918966161864,1.3063140979439507,0.5085299593449599,0.47450072105930163,0.47310610784417184,0.4853789294161445,0.221413730007118,0.21237664678000895,0.21690389788676553,0.21689809155796416,0.1550925925925926,0.0,0.0,0.05169753086419753
18,0.046367154920385636,1.2173313673816977,0.5366727690569859,0.49297102691582384,0.5386476327575176,0.5227638095767758,0.21762592819412135,0.20809351595245457,0.21563194504599492,0.21378379639752362,0.21064814814814814,0.16666666666666666,0.0,0.12577160493827158
19,-0.007982644221999912,1.2249227068794148,0.5447157617739251,0.5402122924440105,0.5289162447744891,0.5379480996641416,0.21086466555767536,0.1980746112544714,0.20753606769458002,0.20549178150224226,0.1736111111111111,0.25,0.0,0.1412037037037037
