epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,1.1632782586076111,0.9467597939192587,-0.07229904815660526,-0.04195865451997216,0.13229376257545278,0.006012019966291786,0.37653246590520983,0.3672391170653635,0.3455853288302615,0.36311897060027826,0.0,0.0,0.0,0.0
2,1.171717778871252,1.2263253501774183,0.157109100340038,0.27579442918791675,0.2736165863629726,0.2355067052969758,0.3389726594810647,0.32577026382002683,0.2791658704883767,0.3146362645964894,0.0,0.0,0.0,0.0
3,1.0283207399073042,1.314580380259158,0.16672829918891596,0.17205649419218583,0.18435534591194958,0.17438004643101712,0.3229653023162582,0.30472080573382654,0.2812533401035472,0.30297981605121066,0.0,0.0,0.0,0.0
4,0.984266514930301,1.1505271137718704,0.3588728257113236,0.3308033365897648,0.3586225819728358,0.3494329147579747,0.29586004964470225,0.2750232194236395,0.23657540542490615,0.2691528914977493,0.0,0.0,0.0,0.0
5,0.9452387149888227,1.2667840919563307,0.2606149341142021,0.22356114477878597,0.2580111150526191,0.2473957313152024,0.3099652540168405,0.2927899540531705,0.2564112847126065,0.28638883092753914,0.0,0.0,0.0,0.0
6,0.8418723068819666,1.218506033816456,0.36802685377557287,0.35191427456267965,0.2823250296559905,0.3340887193314144,0.29681969762653415,0.2712248048157161,0.24249445116366566,0.27017965120197196,0.0,0.0,0.0,0.0
7,0.7332976187958099,1.4494692538839318,0.22514294950801117,0.27826031624828984,0.24707194645844954,0.2501584040715835,0.3096508243033393,0.2757151533089498,0.25161804154743084,0.27899467305324,0.16666666666666666,0.0,0.0,0.05555555555555555
8,0.6570868622951885,1.4378988939477269,0.20942728917605513,0.2617385786802031,0.22015596880623867,0.2304406122208323,0.30599226526761253,0.2836419645569701,0.2528777737458817,0.2808373345234881,0.16666666666666666,0.0,0.0,0.05555555555555555
9,0.5684841766990618,1.2970442638000332,0.381840856679045,0.3945457765185054,0.3389004871259569,0.3717623734411691,0.26953011854533176,0.25356345600531555,0.23191684276783983,0.25167013910616237,0.0,0.0,0.0,0.0
10,0.5365658171245848,1.3384768522110495,0.31625608791039106,0.29137323943661964,0.3136219640971488,0.30708376381471986,0.279180325296958,0.2675717168921463,0.2285093718737703,0.2584204713542915,0.25,0.0,0.0,0.08333333333333333
11,0.42949056500035804,1.3328623771726917,0.3310371325850098,0.33567825856118927,0.3006103763987791,0.3224419225149927,0.272861324819154,0.2649793968572729,0.23601413423285178,0.2579516186364262,0.0,0.0,0.0,0.0
12,0.34284250148937173,1.2381134853239326,0.32805616639513735,0.31856460316914714,0.3074581430745813,0.31802630421295525,0.2713037559352156,0.26052468616446245,0.2256469610287641,0.25249180104281405,0.08333333333333333,0.0,0.0,0.027777777777777776
13,0.28993649460096527,1.434911529949852,0.3357294241206473,0.29308833555173197,0.32708253603775994,0.3186334319033797,0.26955265743829326,0.26216585702006867,0.23330637907014212,0.2550082978428347,0.23809523809523808,0.0,0.0,0.07936507936507936
14,0.22595738031310378,1.5136976087226817,0.2782474264750989,0.3049228043533284,0.27447439700761,0.28588154261201243,0.27731258209607296,0.26934641913576557,0.24275314230738299,0.2631373811797405,0.08333333333333333,0.0,0.0,0.027777777777777776
15,0.17099108409473598,1.3415067709618786,0.3215210046955158,0.3334903438530381,0.31326709526592633,0.3227594812714934,0.2691664666559187,0.26407537633060774,0.22509642300061372,0.2527794219957134,0.07142857142857142,0.0,0.0,0.023809523809523808
16,0.11305111477950934,1.6400824057831473,0.27809504952945463,0.2138812213653567,0.24560177094256086,0.24585934727912406,0.27864724595142276,0.2811902472073597,0.25295425766474855,0.27093058360784367,0.23809523809523808,0.25,0.0,0.1626984126984127
17,0.06572698265600188,1.537776382406604,0.31877329957093614,0.2700587084148728,0.2857142857142857,0.2915154312333649,0.272877862584776,0.2740769523808598,0.24595367579627628,0.26430283025397067,0.07142857142857142,0.0,0.0,0.023809523809523808
18,0.025366452047421047,1.649318571427422,0.29099036078868434,0.21839212093449378,0.33423606409388407,0.28120618193902075,0.2779248432164596,0.2787650581055578,0.23073355495643497,0.26247448542615076,0.3214285714285714,0.25,0.0,0.19047619047619047
19,-0.015441082922301102,1.6448786002561862,0.3049756614187662,0.21131667467563675,0.2968841171665305,0.2710588177536445,0.2733146868121376,0.2821460527591982,0.2447385296071013,0.2667330897261457,0.07142857142857142,0.0,0.0,0.023809523809523808
20,-0.05150181288300571,1.5832119520704555,0.30944237147595355,0.3064817284609229,0.28415433147294344,0.3000261438032733,0.27173793188191203,0.2627693020296154,0.24182854437480017,0.2587785927621092,0.07142857142857142,0.25,0.0,0.10714285714285714
21,-0.07526793868645648,1.7132329944746916,0.29413721359482925,0.22760344972890978,0.27468725046579723,0.26547597126317873,0.28185189673817995,0.2814820373881607,0.24036181802496093,0.2678985840504338,0.15476190476190477,0.25,0.0,0.1349206349206349
22,-0.09275444493198286,1.7371201125273021,0.31094487559004724,0.22862970517337278,0.2882449702644565,0.2759398503426255,0.27756620953431865,0.281406244504124,0.23090111781157396,0.2632911906166722,0.07142857142857142,0.0,0.0,0.023809523809523808
23,-0.11378535782237997,1.7425388001281152,0.2827699098036356,0.24841772151898733,0.3253712072304713,0.2855196128510314,0.27844689910467363,0.2815346837279385,0.23289147978232277,0.26429102087164497,0.07142857142857142,0.0,0.0,0.023809523809523808
24,-0.13265924970970994,1.734406136151672,0.28551861110159904,0.1727132151778279,0.2964352720450282,0.25155569944148504,0.27680785485042997,0.28570224181043413,0.23618980684124535,0.2662333011673698,0.07142857142857142,0.25,0.0,0.10714285714285714
25,-0.14909115726200176,1.8799090477889855,0.27254772876892697,0.2072033290285551,0.27138643067846613,0.2503791628253161,0.28227011643978306,0.28362545581651954,0.23989617814502756,0.2685972501337767,0.07142857142857142,0.25,0.0,0.10714285714285714
26,-0.1559275129749561,1.7177919507601427,0.29512341161599354,0.25583347322477745,0.31643217414388114,0.2891296863282174,0.27774715475507245,0.27462262300157636,0.23412716972922595,0.2621656491619582,0.07142857142857142,0.0,0.0,0.023809523809523808
27,-0.16500572639975897,1.8749339517474761,0.26169922762380726,0.2362628661916072,0.27054083750457814,0.25616764377333084,0.28108707842632064,0.2810222543150558,0.23927464968113182,0.26712799414083604,0.07142857142857142,0.0,0.0,0.023809523809523808
28,-0.17613960641052448,1.8055338577422362,0.3068385589306091,0.23226712634871993,0.27644710578842313,0.2718509303559174,0.2748135701640747,0.28423779225392265,0.2417452657799797,0.26693220939932566,0.07142857142857142,0.25,0.0,0.10714285714285714
29,-0.18324421521252282,1.9137913498667232,0.2868190410723491,0.18624592694220532,0.2630762411347518,0.24538040304976874,0.2789478009397323,0.28587842194355806,0.2442268433987236,0.269684355427338,0.07142857142857142,0.25,0.0,0.10714285714285714
30,-0.19106891052870587,1.8419869486587854,0.2818456615675141,0.25315656565656564,0.2884824996972266,0.27449490897376877,0.2762109104386591,0.28000989093786394,0.2426297477010689,0.2662835163591973,0.07142857142857142,0.25,0.0,0.10714285714285714
31,-0.19375082670048388,1.8241799338016171,0.3130762536072086,0.26486825221569044,0.30036188178528356,0.2927687958693942,0.2758212225436724,0.2755693169278389,0.23914040448692733,0.2635103146528129,0.07142857142857142,0.25,0.0,0.10714285714285714
32,-0.19878904402150654,1.912686757532633,0.2861357899223028,0.20340784927501987,0.2886423920906679,0.25939534376266354,0.279173051531766,0.28301870341343305,0.24209077122073175,0.2680941753886436,0.07142857142857142,0.25,0.0,0.10714285714285714
33,-0.2035340203497663,1.8615027352360043,0.3109287661425779,0.22826503255457664,0.3083003952569169,0.28249806465135713,0.2744758494835191,0.28106638048786525,0.236309871927056,0.26395070063281345,0.07142857142857142,0.25,0.0,0.10714285714285714
34,-0.20437847961258682,1.8318669202865683,0.29544612598273945,0.22109166692206317,0.315112540192926,0.27721677769924286,0.2741962961530125,0.27993683303697214,0.23497639651761779,0.2630365085692008,0.07142857142857142,0.25,0.0,0.10714285714285714
35,-0.20613751542918915,1.8586075176294077,0.305204308036768,0.21677427032816643,0.30824928885440916,0.27674262240644787,0.2748718280472,0.28050277484565916,0.23674433119102295,0.2640396446946274,0.07142857142857142,0.25,0.0,0.10714285714285714
