epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,37.6175969614859,29.541955707297703,0.009899457426140845,0.03716867069687102,0.07610999796730267,0.04105937536343818,0.40711686234110234,0.3972172436938675,0.3921441797465948,0.39882609526052154,0.022727272727272728,0.05,0.0,0.024242424242424242
2,29.158985695881245,18.95577865494551,0.46908251355149577,0.34685683757224495,0.1456640525466436,0.3205344678901281,0.39253354600352597,0.39172943924483283,0.3882540336721133,0.39083900630682405,0.4671717171717171,0.0,0.0,0.1557239057239057
3,24.68427990000173,22.999872543249964,0.4096688719649374,0.4145336105846199,0.2442194992008524,0.3561406605834699,0.38725313894542435,0.38637640287173525,0.3856782863205838,0.38643594271258114,0.0,0.0,0.0,0.0
4,22.612821645585452,25.640373291492207,0.40873306697557854,0.28813610769627707,0.44479078504634306,0.3805533199060662,0.3803667192809447,0.3783298423167706,0.37672452787678967,0.37847369649150164,0.0,0.0,0.0,0.0
5,20.327013773639575,14.566573273768732,0.24638889815525233,0.5023903187679715,0.5298513472161828,0.4262101880464688,0.3815420775599964,0.37821998467289963,0.38093488362197736,0.3802323152849578,0.0,0.0,0.0,0.0
6,17.91361318484458,19.47241819664045,0.3966095380029807,0.32496608927485626,0.39006487974310244,0.3705468356736465,0.3682415222419766,0.37271412654994324,0.38373170323846717,0.374895784010129,0.0,0.0,0.0,0.0
7,17.479480015377916,12.557422268800245,0.5657929573735769,0.5804093567251463,0.42465204192679995,0.5236181186751744,0.3721075727440714,0.3673291315908576,0.37483211834201685,0.3714229408923153,0.05555555555555555,0.0,0.0,0.018518518518518517
8,17.088966658812634,10.6844005786203,0.4277584505945271,0.42035568065506645,0.5151357381926366,0.45441662314741005,0.37453607921417975,0.3742572445639269,0.3790950353859017,0.3759627863880028,0.022727272727272728,0.0,0.0,0.007575757575757576
9,16.198266493196236,11.331430474866039,0.5848052826842756,0.6092556516376785,0.5851519233647657,0.5930709525622399,0.36915312243018633,0.36498110621112156,0.36956124483102365,0.3678984911574439,0.13636363636363635,0.0,0.0,0.04545454545454545
10,15.813402502635903,13.404631201601884,0.5299092088197146,0.43398610233733415,0.505985696517413,0.48996033589148724,0.3674806312712261,0.36793261245338055,0.370502103134277,0.3686384489529612,0.0,0.0,0.0,0.0
11,15.711685457691324,18.957678722940148,0.4680705414479903,0.6231856499968309,0.43519687751119274,0.5088176896520046,0.3600220493106642,0.36942151833768844,0.365334267088416,0.3649259449122562,0.06818181818181818,0.0,0.0,0.022727272727272724
12,16.1427936614899,14.75075040211179,0.47360235601661127,0.3981371087928466,0.5609142528570402,0.47755123922216597,0.3675478453149427,0.36922096505177593,0.37176696862913233,0.36951192633195035,0.06818181818181818,0.0,0.0,0.022727272727272724
13,16.003986538993562,9.646506758721136,0.553233211605979,0.5449834754579951,0.5311978910257429,0.5431381926965724,0.3656473815376958,0.37114700486166263,0.37575929855369716,0.37085122831768524,0.33585858585858586,0.0,0.0,0.11195286195286196
14,15.700830552779905,11.814172644518319,0.5905008658764146,0.5595734382562805,0.5613029852163727,0.5704590964496893,0.36533103415164536,0.36788993497226535,0.3681129515046375,0.3671113068761827,0.11363636363636363,0.0,0.0,0.03787878787878788
15,15.505805864414606,10.953380766210415,0.6303245930402573,0.5171763175016265,0.6191374192421861,0.5888794432613567,0.3641797414064797,0.36878523458147305,0.37237509323659923,0.3684466897415173,0.22474747474747475,0.05,0.0,0.09158249158249158
16,15.657235595951812,11.172011379864127,0.661230095225124,0.6458222276896161,0.567999752080202,0.6250173583316473,0.360292847001083,0.36562439899984056,0.36502777195906067,0.36364833931999474,0.3712121212121212,0.18333333333333335,0.0,0.18484848484848485
