epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,12.602614431907796,6.757148719284096,0.01758796785750316,0.04133545310015907,0.0156941412472712,0.02487252073497781,0.39994549882656905,0.3857823555163483,0.38527443986330184,0.39033409806873975,0.0,0.038461538461538464,0.0,0.012820512820512822
2,23.152402285678985,12.942583217382673,0.27608263462702043,0.24678800856531047,0.0,0.17429021439744363,0.3943841294968874,0.3945755619477679,0.3924183087843153,0.39379266674299024,0.2,0.0,0.0,0.06666666666666667
3,25.657598227158033,14.343344202018361,0.10249540722596451,0.5176137824633582,0.0267857142857143,0.21563163465834567,0.3908692395911558,0.3898393293507586,0.38747306223633793,0.38939387705941747,0.0,0.0,0.0,0.0
4,23.90512337729464,13.539867522592237,0.3286954791580802,0.10530331934376203,0.22238341968911923,0.21879407273032048,0.3902238384910028,0.38278811964198195,0.3904766663482457,0.38782954149374343,0.0,0.0,0.0,0.0
5,21.603024063038927,11.967276125548125,0.403398688459106,0.29147578884274516,0.3802466679928387,0.35837371509822996,0.38364207006814477,0.3867864737816916,0.381421194084581,0.3839499126448058,0.0,0.0,0.0,0.0
6,18.434584000285874,10.465505995204435,0.09506005514791782,0.5475132434535914,0.529494382022472,0.39068922687466046,0.3722893362672554,0.3710642549113742,0.38442849151378533,0.37592736089747164,0.0,0.0,0.0,0.0
7,17.958469142724176,10.554398706592004,0.41270586088463956,0.30108297499601844,0.41839278040395356,0.37739387209487046,0.3859941621211996,0.3819994280071809,0.37432760392876296,0.38077373135238113,0.21428571428571427,0.0,0.0,0.07142857142857142
8,16.44476778262106,10.06312702550865,0.004152006315727874,0.41640329915979335,0.3665454545454545,0.2623669200069919,0.3750077964460643,0.3766938601666385,0.3763363726032519,0.3760126764053182,0.0,0.0,0.0,0.0
9,15.961373310400376,9.825038091845965,0.4801831433785364,0.4396417733698468,0.4911291758143951,0.4703180308542594,0.37949842898428304,0.3794277158003575,0.37300647714034224,0.37731087397499424,0.0,0.07692307692307693,0.0,0.025641025641025644
10,16.073930510388934,10.126340727408596,0.5024077046548957,0.31560859188544144,0.501369245143207,0.43979518056118144,0.3783025945226825,0.38474441022521405,0.3774700630066636,0.3801723559181867,0.0,0.07692307692307693,0.0,0.025641025641025644
11,16.00743857315412,9.684903023082411,0.4707468274002713,0.3931659118979004,0.5087076076993584,0.4575401156658434,0.37033275982411473,0.3682248431782963,0.378571360737253,0.3723763212465547,0.0,0.0,0.0,0.0
12,15.862082941602123,9.730014397321895,0.4160371876815806,0.4284657032680248,0.44726145921365046,0.43058811672108527,0.36621116744208954,0.37218889631115326,0.3752531869417681,0.3712177502316703,0.0,0.0,0.0,0.0
13,15.614705780539145,9.901474583651114,0.4570502431118314,0.4860755994748117,0.2518467617247896,0.39832420143714425,0.3709222311453191,0.368722932046716,0.3758075064833655,0.3718175565584669,0.0,0.0,0.0,0.0
14,15.779483452896606,10.092051350588498,0.5187169365450199,0.41010926813929716,0.44034762065474187,0.45639127511301963,0.3691047605991553,0.37406777923936346,0.3736512070931725,0.37227458231056376,0.0,0.0,0.0,0.0
15,15.507167637568852,10.027556628850148,0.4419439060723038,0.381457473973679,0.423407917383821,0.41560309914326793,0.3728067153103581,0.37368112056362957,0.3748927957637759,0.3737935438792545,0.047619047619047616,0.0,0.0,0.015873015873015872
16,15.949271275231684,10.049595416875277,0.4309620798666268,0.3325589636571249,0.3666255651459104,0.3767155362232207,0.3732997674586305,0.37522604717016605,0.3710528653436236,0.37319289332414,0.05,0.0,0.0,0.016666666666666666
17,15.64667382828784,10.025687844372124,0.4637311241765456,0.4192120242568548,0.45344756870072456,0.44546357237804163,0.3713521975103697,0.3746156654898606,0.37705823789734716,0.37434203363252583,0.0,0.038461538461538464,0.0,0.012820512820512822
18,15.987501957492112,10.285115606504624,0.5069698391377837,0.45481417516357237,0.47492163009404387,0.47890188146513335,0.37358165585412983,0.370428770263069,0.36766962649753676,0.37056001753824513,0.14285714285714285,0.0,0.0,0.047619047619047616
19,15.86092152187524,10.131624619723144,0.4951116932715752,0.4480729626360693,0.4145773874862788,0.45258734779797444,0.3720675077467388,0.37019176412907084,0.37322365281844905,0.37182764156475284,0.11904761904761904,0.038461538461538464,0.0,0.052503052503052504
20,15.550709761426122,10.22716322308948,0.5058495734767304,0.43176955990220045,0.38931861851505145,0.4423125839646607,0.3716133276816338,0.3736092098531789,0.37894652055038075,0.3747230193617312,0.11904761904761904,0.0,0.0,0.03968253968253968
21,16.09935351707679,10.321488742077861,0.4750305901210009,0.444401589077024,0.36707152496626183,0.4288345680547622,0.3761945036245585,0.3757773842983032,0.37196687241495596,0.3746462534459392,0.14285714285714285,0.038461538461538464,0.0,0.06043956043956044
