epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,1.152924976784575,0.9718074709252638,0.13194405002246046,0.09648499940017052,0.16131457809892358,0.12991454250718484,0.3703505380594935,0.36565101656268567,0.3651008127549196,0.36703412245903294,0.0,0.2777777777777778,0.25,0.17592592592592593
2,1.180772593811305,1.1481794768127822,0.20932580594701433,0.32543304921638716,0.28382953012357337,0.2728627950956583,0.3396615356476262,0.32564732024909326,0.3071736449749351,0.32416083362388487,0.0,0.0,0.0,0.0
3,1.0846563834142948,0.9858749644336557,0.37140673579629346,0.47670312092810097,0.3599297260968507,0.402679860940415,0.28598638277080013,0.27292912311915546,0.2608282592080588,0.27324792169933815,0.0,0.0,0.0,0.0
4,1.0029340514539593,0.9749545065012803,0.4780081574527696,0.5240706476030278,0.5269713137472284,0.509683372934342,0.2684375681886635,0.24913196429518342,0.2405442798643898,0.2527046041160789,0.0,0.0,0.0,0.0
5,0.9396582865979899,0.9904231092163063,0.5875158386128709,0.5715680954964732,0.5039802195151369,0.554354717874827,0.2545427537870747,0.24929135478372927,0.24461240811444052,0.24948217222841484,0.0,0.0,0.0,0.0
6,0.8414080899138231,0.9759648041049536,0.5675099997891082,0.5605930949543743,0.5230831261339963,0.5503954069591596,0.23964119711677986,0.24472172678700846,0.2376572709889886,0.2406733982975923,0.0,0.0,0.0,0.0
7,0.7383178962450546,1.0395325335800087,0.5837810945273632,0.565667116391754,0.5300937562337922,0.5598473223843031,0.2308602550711169,0.23091586054508256,0.2209368108837427,0.22757097549998073,0.0,0.0,0.0,0.0
8,0.6638811284932066,1.0852120481272274,0.4973826159359953,0.5099849577260231,0.524027158991895,0.5104649108846379,0.23166599281560293,0.23938094321399106,0.22418526766412156,0.23174406789790516,0.0,0.0,0.0,0.0
9,0.6100452747739377,1.0011972699539464,0.5810821041908996,0.6045225704265189,0.5684424321922735,0.584682368936564,0.21736498227407655,0.220229306475638,0.2382451244110705,0.22527980438692832,0.0,0.0,0.0,0.0
10,0.5112350704677232,1.0756112939933504,0.5821712052753694,0.5345041352451245,0.5519187459386321,0.5561980288197087,0.22112685392327314,0.23323500027931168,0.21941059810042968,0.22459081743433817,0.2826086956521739,0.0,0.0,0.09420289855072463
