epoch,train_loss_avg,val_loss,qwk_c,qwk_o,qwk_l,qwk_avg,emd_c,emd_o,emd_l,macroEMD,tailR0_c,tailR0_o,tailR0_l,tailR0_avg
1,1.7999783125643605,1.4694462811821336,0.19731531652061451,0.2255310775937096,0.217488520662807,0.21344497159237705,0.36320676923817036,0.36568647602924537,0.3719947273679767,0.3669626575451308,0.0,0.1111111111111111,0.0,0.037037037037037035
2,1.2980921203308609,1.1857005627528951,0.34886785256076835,0.19777961787346277,0.37283267001211284,0.3064933801487813,0.33105142715987684,0.3233416809809886,0.30856023852932435,0.3209844488900633,0.0,0.0,0.0,0.0
3,1.1585077980346223,1.0375530664717285,0.5325200760129958,0.4329630956646363,0.5240401030511841,0.49650775824293875,0.27558604759009625,0.27144983541087175,0.2561391700654119,0.2677250176887933,0.0,0.0,0.0,0.0
4,1.0249711104731054,0.9662124033340451,0.54132361259506,0.5161528249004277,0.5854587582720427,0.5476450652558434,0.24423859297635991,0.2505209693946487,0.23467310614688502,0.24314422283929785,0.0,0.0,0.0,0.0
5,0.9470374434727841,0.9621412194855343,0.6080007038742412,0.5435895804840812,0.5843058562602313,0.5786320468728513,0.2366757473003152,0.23998856250659,0.22321475005870428,0.23329301995520316,0.0,0.0,0.0,0.0
6,0.8504837487163084,0.9098577953545762,0.5883608380677547,0.5661016949152542,0.6524257784214338,0.6022961038014809,0.2214499224044814,0.22670661279988433,0.21184427722340637,0.22000027080925735,0.043478260869565216,0.0,0.0,0.014492753623188406
7,0.7678314752752364,0.9314426731506378,0.6718101039595238,0.6191582002902758,0.6494068583644361,0.6467917208714119,0.20039983442176018,0.20546328496286576,0.19863663814887372,0.2014999191778332,0.13043478260869565,0.0,0.0,0.043478260869565216
8,0.6995201233052759,0.9489666384333488,0.6370446033367382,0.5519349626001633,0.6395670963690763,0.6095155541019927,0.20186595917853317,0.21554976223247274,0.1970186912500242,0.20481147088701004,0.2391304347826087,0.0,0.0,0.07971014492753624
9,0.6000857566734731,1.0881100272267172,0.6153230862355967,0.573427916943767,0.6609735689324211,0.6165748573705949,0.19831364669635934,0.20789243807689325,0.18930494028836065,0.19850367502053776,0.41304347826086957,0.125,0.0,0.17934782608695654
10,0.5668383541727195,1.02784431488429,0.6432045047350909,0.5921666148585639,0.6661282724274851,0.6338331306737133,0.19087478538063873,0.19727272119320027,0.1862705560415982,0.19147268753847904,0.17391304347826086,0.08333333333333333,0.0,0.0857487922705314
11,0.4784644220649676,1.0476516362243873,0.6391417247505808,0.6098159509202454,0.675454295154185,0.6414706569416704,0.18674017484374789,0.1887360470077607,0.18891928921786222,0.1881318370231236,0.10869565217391304,0.08333333333333333,0.0,0.06400966183574879
12,0.4317681968748674,1.1115037290244818,0.6360587829174474,0.5703413149113049,0.6669133720029605,0.6244378232772376,0.18457789234120275,0.19062710802684263,0.1785948622839248,0.18459995421732342,0.2608695652173913,0.16666666666666666,0.0,0.14251207729468598
